FAFZONE,CBPZONE
11,1
12,2
19,3
20,4
41,5
42,6
49,7
50,8
61,9
62,10
63,11
64,12
69,13
81,14
89,15
91,16
92,17
99,18
100,19
111,20
121,21
122,22
123,23
124,24
129,25
131,26
132,27
139,28
151,29
159,30
160,31
172,33
179,34
181,35
182,36
189,37
190,38
201,39
209,40
211,41
219,42
221,43
222,44
223,45
229,46
230,47
241,48
242,49
249,50
251,51
259,52
261,53
262,54
269,55
271,56
279,57
280,58
291,59
292,60
299,61
300,62
310,63
321,64
329,65
330,66
341,67
342,68
349,69
350,70
361,71
362,72
363,73
364,74
369,75
371,76
372,77
373,78
379,79
380,80
391,81
392,82
393,83
394,84
399,85
401,86
402,87
409,88
411,89
419,90
421,91
422,92
429,93
440,94
451,95
452,96
459,97
460,98
471,99
472,100
479,101
481,102
482,103
483,104
484,105
485,106
486,107
487,108
488,109
489,110
491,111
499,112
500,113
511,114
512,115
513,116
519,117
531,118
539,119
540,120
551,121
559,122
560,123
179,17007
171,17031
171,17037
171,17043
171,17063
171,17089
171,17091
171,17093
171,17097
179,17099
179,17103
171,17111
179,17141
171,17197
179,17201
181,18089
181,18091
181,18127
559,55059
551,55101
559,55127
