Zone17,HH
1,629
2,3468
3,4497
4,4816
5,4030
6,1791
7,8388
8,183
9,1750
10,4213
11,3392
12,2702
13,4854
14,2884
15,1590
16,2138
17,1743
18,1328
19,7013
20,2594
21,543
22,1927
23,797
24,1991
25,3462
26,3196
27,1759
28,254
29,626
30,637
31,0
32,1091
33,1122
34,2759
35,2423
36,325
37,0
38,3
39,3031
40,3662
41,2586
42,0
43,83
44,0
45,664
46,1038
47,2552
48,2262
49,101
50,3058
51,11017
52,4648
53,2891
54,447
55,2670
56,12385
57,10027
58,3474
59,4474
60,4542
61,4712
62,4280
63,6150
64,4431
65,1621
66,1518
67,3497
68,361
69,11200
70,16220
71,0
72,3257
73,3035
74,1277
75,1906
76,10462
77,0
78,3189
79,714
80,1525
81,2681
82,3697
83,2255
84,3551
85,2470
86,314
87,2224
88,4242
89,2602
90,3082
91,4033
92,4291
93,4709
94,2659
95,2596
96,1725
97,1175
98,3330
99,1896
100,1672
101,0
102,66
103,52
104,3341
105,3429
106,2193
107,337
108,45
109,113
110,855
111,2822
112,418
113,0
114,0
115,0
116,1136
117,1308
118,2911
119,2072
120,2174
121,400
122,0
123,0
124,1178
125,0
126,0
127,678
128,668
129,0
130,0
131,448
132,138
133,327
134,673
135,3671
136,1796
137,2060
138,1805
139,653
140,2221
141,1039
142,758
143,1431
144,874
145,1155
146,746
147,763
148,656
149,690
150,929
151,3915
152,4585
153,2091
154,540
155,1104
156,368
157,651
158,47
159,498
160,745
161,1159
162,1035
163,2817
164,3959
165,2312
166,5689
167,1929
168,2598
169,680
170,2213
171,2560
172,2667
173,2165
174,3264
175,4141
176,586
177,6383
178,964
179,496
180,907
181,741
182,564
183,1414
184,1292
185,220
186,1266
187,540
188,420
189,216
190,112
191,841
192,778
193,594
194,390
195,762
196,643
197,48
198,1926
199,3241
200,3024
201,1127
202,2558
203,4082
204,844
205,1908
206,1206
207,1140
208,1446
209,742
210,2013
211,1276
212,1031
213,118
214,1216
215,1658
216,0
217,2522
218,2409
219,2962
220,985
221,1435
222,3621
223,687
224,737
225,6320
226,1251
227,2072
228,2255
229,1032
230,961
231,692
232,1767
233,2559
234,3351
235,2259
236,2606
237,2913
238,2382
239,2484
240,1275
241,2907
242,1570
243,1185
244,305
245,1483
246,1172
247,1287
248,1556
249,1345
250,2055
251,1673
252,1915
253,2116
254,1088
255,1126
256,1135
257,2230
258,954
259,2588
260,368
261,2014
262,329
263,264
264,2323
265,1480
266,383
267,1431
268,1543
269,1654
270,5547
271,7895
272,943
273,1388
274,1417
275,1239
276,3517
277,2751
278,3049
279,3155
280,2505
281,2017
282,1755
283,1387
284,556
285,965
286,952
287,1365
288,1543
289,1043
290,1216
291,1424
292,1798
293,1051
294,1792
295,984
296,1189
297,1962
298,240
299,2234
300,1524
301,3215
302,2134
303,2484
304,2421
305,2923
306,2962
307,3331
308,1527
309,2542
310,2765
311,6924
312,7657
313,3885
314,2751
315,2046
316,3670
317,1841
318,1196
319,6099
320,2576
321,2881
322,0
323,5895
324,2455
325,2564
326,2600
327,2273
328,5304
329,4523
330,6322
331,1374
332,1554
333,3151
334,3178
335,2611
336,2513
337,4113
338,6144
339,3813
340,3634
341,9270
342,8317
343,386
344,2571
345,2411
346,1535
347,3553
348,4171
349,3045
350,3892
351,2653
352,11202
353,0
354,7570
355,5723
356,1284
357,2237
358,1782
359,739
360,1826
361,380
362,32
363,1539
364,1641
365,2154
366,1063
367,2328
368,3404
369,1190
370,0
371,4360
372,1252
373,1439
374,1367
375,1898
376,1422
377,1884
378,981
379,0
380,186
381,941
382,1524
383,979
384,448
385,1487
386,1841
387,702
388,610
389,255
390,469
391,209
392,110
393,121
394,2662
395,2470
396,336
397,1187
398,1493
399,2438
400,841
401,1405
402,1097
403,1631
404,1151
405,2462
406,1482
407,1253
408,403
409,3059
410,566
411,2032
412,3210
413,3367
414,3652
415,2920
416,1551
417,716
418,674
419,1404
420,1543
421,283
422,2684
423,114
424,2852
425,3920
426,2512
427,2487
428,0
429,3714
430,1969
431,239
432,317
433,882
434,0
435,0
436,747
437,0
438,258
439,1130
440,1063
441,2612
442,1174
443,1394
444,1056
445,834
446,0
447,519
448,3033
449,1988
450,823
451,2557
452,704
453,2417
454,722
455,1710
456,3092
457,916
458,0
459,952
460,1729
461,359
462,0
463,0
464,2366
465,2641
466,2417
467,2777
468,1897
469,969
470,1163
471,1262
472,376
473,950
474,879
475,1507
476,797
477,619
478,921
479,701
480,52
481,862
482,1347
483,0
484,1543
485,660
486,993
487,634
488,923
489,92
490,871
491,951
492,3977
493,1621
494,0
495,534
496,446
497,1324
498,1073
499,730
500,1059
501,4267
502,5597
503,2555
504,0
505,970
506,951
507,1220
508,1817
509,1658
510,1593
511,0
512,337
513,0
514,396
515,2562
516,2697
517,3110
518,810
519,560
520,744
521,732
522,2858
523,0
524,7
525,1857
526,13
527,160
528,1280
529,896
530,438
531,659
532,2114
533,1475
534,1659
535,2167
536,2027
537,300
538,2072
539,2334
540,1910
541,714
542,1065
543,2252
544,420
545,936
546,1896
547,1903
548,2078
549,1810
550,0
551,3337
552,3302
553,2260
554,4068
555,1257
556,2025
557,2879
558,498
559,1505
560,1521
561,199
562,6699
563,3522
564,1632
565,0
566,3865
567,2164
568,2544
569,987
570,317
571,2136
572,0
573,1967
574,5113
575,6733
576,2000
577,648
578,1320
579,1089
580,1229
581,1795
582,297
583,3157
584,1703
585,1505
586,2601
587,2626
588,0
589,0
590,0
591,6337
592,3842
593,969
594,1530
595,933
596,2017
597,5833
598,6937
599,639
600,975
601,1893
602,802
603,1568
604,3584
605,2321
606,1830
607,4713
608,6641
609,822
610,573
611,407
612,84
613,811
614,3591
615,1022
616,1247
617,1321
618,1142
619,939
620,3659
621,4435
622,904
623,2928
624,4015
625,1360
626,1693
627,1625
628,2004
629,893
630,128
631,3393
632,2558
633,1426
634,2318
635,2077
636,749
637,465
638,416
639,244
640,4228
641,1068
642,841
643,225
644,893
645,4200
646,397
647,1125
648,715
649,880
650,3195
651,2007
652,2744
653,3215
654,578
655,833
656,698
657,4
658,615
659,0
660,171
661,575
662,934
663,429
664,897
665,0
666,190
667,950
668,644
669,565
670,446
671,2740
672,3546
673,1088
674,998
675,891
676,1247
677,0
678,127
679,0
680,1569
681,2905
682,3976
683,3846
684,8
685,3
686,497
687,227
688,3734
689,713
690,0
691,89
692,32
693,579
694,799
695,94
696,0
697,2079
698,2161
699,714
700,794
701,671
702,635
703,96
704,404
705,1069
706,0
707,541
708,2790
709,0
710,473
711,826
712,0
713,223
714,888
715,0
716,328
717,616
718,132
719,288
720,3357
721,120
722,350
723,1148
724,140
725,2017
726,1367
727,5672
728,1079
729,0
730,1306
731,2174
732,994
733,1086
734,3150
735,8801
736,6009
737,5480
738,1867
739,8
740,377
741,700
742,491
743,2137
744,534
745,681
746,648
747,455
748,1415
749,4504
750,100
751,16
752,937
753,745
754,1186
755,1832
756,725
757,1058
758,1581
759,2161
760,855
761,702
762,464
763,4390
764,1277
765,654
766,1265
767,563
768,718
769,2092
770,1886
771,1010
772,2016
773,1137
774,1197
775,173
776,385
777,118
778,1263
779,966
780,374
781,553
782,292
783,448
784,1558
785,1119
786,215
787,191
788,1503
789,520
790,1193
791,1217
792,2209
793,1804
794,1537
795,1203
796,748
797,1092
798,1057
799,0
800,7
801,1516
802,538
803,1394
804,0
805,0
806,3261
807,1810
808,421
809,1025
810,1396
811,437
812,1490
813,391
814,0
815,1045
816,536
817,121
818,1684
819,2473
820,2270
821,3064
822,2021
823,473
824,716
825,1616
826,527
827,1898
828,2095
829,2387
830,710
831,632
832,425
833,899
834,7099
835,821
836,1908
837,206
838,1354
839,38
840,1103
841,440
842,667
843,2358
844,1152
845,1277
846,703
847,1221
848,175
849,1085
850,1606
851,713
852,1031
853,355
854,652
855,248
856,447
857,1335
858,2620
859,868
860,476
861,858
862,1528
863,1876
864,1105
865,1722
866,2614
867,2035
868,2277
869,2069
870,21
871,5
872,2201
873,2048
874,1972
875,700
876,1545
877,412
878,1660
879,1739
880,450
881,544
882,1820
883,742
884,576
885,515
886,1872
887,373
888,978
889,1673
890,217
891,638
892,657
893,300
894,1766
895,1453
896,380
897,455
898,678
899,492
900,2587
901,1246
902,2611
903,1050
904,823
905,346
906,1185
907,322
908,1121
909,762
910,1952
911,2992
912,1692
913,458
914,764
915,1395
916,741
917,0
918,420
919,984
920,1495
921,632
922,1353
923,1628
924,507
925,349
926,1188
927,2069
928,429
929,1261
930,97
931,143
932,136
933,339
934,562
935,39
936,433
937,383
938,1292
939,726
940,409
941,0
942,880
943,2461
944,1808
945,1458
946,846
947,442
948,0
949,0
950,1223
951,0
952,2338
953,22
954,0
955,1102
956,715
957,391
958,648
959,618
960,402
961,1048
962,1495
963,1809
964,1824
965,728
966,744
967,1342
968,1283
969,1707
970,385
971,628
972,369
973,22
974,1295
975,1829
976,351
977,1154
978,1165
979,1705
980,926
981,2742
982,439
983,451
984,210
985,353
986,372
987,35
988,747
989,338
990,607
991,322
992,401
993,465
994,837
995,1537
996,1392
997,901
998,355
999,572
1000,606
1001,578
1002,1796
1003,299
1004,1527
1005,2945
1006,1783
1007,1884
1008,1467
1009,602
1010,960
1011,2769
1012,714
1013,1934
1014,1811
1015,1115
1016,1517
1017,836
1018,1240
1019,884
1020,1059
1021,260
1022,2647
1023,955
1024,388
1025,601
1026,495
1027,1683
1028,1560
1029,662
1030,524
1031,236
1032,390
1033,1688
1034,1589
1035,3518
1036,510
1037,189
1038,939
1039,430
1040,286
1041,685
1042,328
1043,0
1044,751
1045,159
1046,692
1047,680
1048,445
1049,851
1050,637
1051,450
1052,866
1053,268
1054,610
1055,321
1056,464
1057,216
1058,648
1059,439
1060,429
1061,407
1062,0
1063,749
1064,662
1065,646
